id,name_id,full_name,first_name,middle_name,last_name,gender,party_id,party_name,abbrv,office,b ,ward_pr_order,researcher ,note_fb,fb_url,note_ig,instagram_url,note_tw,twitter_url,note_tk,tiktok_url,note_yt,YouTube_url,note_li,LinkedIn_url,note_web,website,note_wiki,wikipedia_url,note_wa,wa_numbers,note_te,telegram,notes
pers_11,dixie_nciki,DIXIE NCIKI,DIXIE,,NCIKI,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,3,Siphokazi Kumbuza,,,,,,,,,,,,,Auto_search,https://www.citizen.co.za/south-coast-herald/news-headlines/local-news/2025/11/27/dixie-nciki-of-umuziwabantu-elected-deputy-mayor-for-ugu/,,,,,,,"WEB- Probable 100% Name match, Location match (Umuziwabantu), Civic role match"
pers_12,sizwe_reginald_ngcobo,SIZWE REGINALD NGCOBO,SIZWE,REGINALD,NGCOBO,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,4,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_13,thuleleni_thandi_winnie_mbili,THULELENI THANDI WINNIE MBILI,THULELENI,THANDI WINNIE,MBILI,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,5,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_14,moosa_agrippa_manyoni,MOOSA AGRIPPA MANYONI,MOOSA,AGRIPPA,MANYONI,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,6,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_15,nomfundo_thobeka_dlamini,NOMFUNDO THOBEKA DLAMINI,NOMFUNDO,THOBEKA,DLAMINI,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,7,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_16,mondli_abednego_chiliza,MONDLI ABEDNEGO CHILIZA,MONDLI,ABEDNEGO,CHILIZA,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,8,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_17,mbali_judith_celeluthuli,MBALI JUDITH CELE-LUTHULI,MBALI,JUDITH,CELE-LUTHULI,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,9,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_18,bongani_goodman_nyuswa,BONGANI GOODMAN NYUSWA,BONGANI,GOODMAN,NYUSWA,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,10,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_19,precious_zodwa_mzindle,PRECIOUS ZODWA MZINDLE,PRECIOUS,ZODWA,MZINDLE,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,11,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_20,francis_mthokozisi_ngwane,FRANCIS MTHOKOZISI NGWANE,FRANCIS,MTHOKOZISI,NGWANE,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,12,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_21,nontuthuzelo_agrineth_lunasigwebela,NONTUTHUZELO AGRINETH LUNA-SIGWEBELA,NONTUTHUZELO,AGRINETH,LUNA-SIGWEBELA,,pty_50,African National Congress,ANC,District PR Candidate,DC21 - Ugu,13,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_22,zodwa_faithfull_cele,ZODWA FAITHFULL CELE,ZODWA,FAITHFULL,CELE,,pty_56,African Renaissance Unity,ARU,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_23,abegail_nozipho_mzize,ABEGAIL NOZIPHO MZIZE,ABEGAIL,NOZIPHO,MZIZE,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_24,nolulamo_mnguni,NOLULAMO MNGUNI,NOLULAMO,,MNGUNI,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,2,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_25,vincent_thulani_dlamini,VINCENT THULANI DLAMINI,VINCENT,THULANI,DLAMINI,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,3,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_26,zibuyile_zamekile_cele,ZIBUYILE ZAMEKILE CELE,ZIBUYILE,ZAMEKILE,CELE,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,4,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_27,cynthia_nondumiso_hadebe,CYNTHIA NONDUMISO HADEBE,CYNTHIA,NONDUMISO,HADEBE,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,5,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_28,mandlenkosi_derick_sikobi,MANDLENKOSI DERICK SIKOBI,MANDLENKOSI,DERICK,SIKOBI,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,6,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_29,xolani_thembelani_mbhamali,XOLANI THEMBELANI MBHAMALI,XOLANI,THEMBELANI,MBHAMALI,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,7,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_30,zanele_godslove_msani,ZANELE GOD'SLOVE MSANI,ZANELE,GOD'SLOVE,MSANI,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,8,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_31,nokuzola_veronica_madikizela,NOKUZOLA VERONICA MADIKIZELA,NOKUZOLA,VERONICA,MADIKIZELA,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,9,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_32,sibusiso_steven_gansa,SIBUSISO STEVEN GANSA,SIBUSISO,STEVEN,GANSA,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,10,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_33,rosia_jacob_lubanyana,ROSIA JACOB LUBANYANA,ROSIA,JACOB,LUBANYANA,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,11,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_34,nonhle_christobel_mthuli,NONHLE CHRISTOBEL MTHULI,NONHLE,CHRISTOBEL,MTHULI,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,12,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_35,sanele_hopewell_khuzwayo,SANELE HOPEWELL KHUZWAYO,SANELE,HOPEWELL,KHUZWAYO,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,13,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_36,phumzile_rosemary_mvuna,PHUMZILE ROSEMARY MVUNA,PHUMZILE,ROSEMARY,MVUNA,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,14,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_37,thabisile_judith_mbatha,THABISILE JUDITH MBATHA,THABISILE,JUDITH,MBATHA,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,15,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_38,gloria_hleziphi_cele,GLORIA HLEZIPHI CELE,GLORIA,HLEZIPHI,CELE,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,16,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_39,siphamandla_promise_ngwekazi,SIPHAMANDLA PROMISE NGWEKAZI,SIPHAMANDLA,PROMISE,NGWEKAZI,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,17,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_40,nondumiso_dimba,NONDUMISO DIMBA,NONDUMISO,,DIMBA,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,18,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_41,nokulunga_purity_myende,NOKULUNGA PURITY MYENDE,NOKULUNGA,PURITY,MYENDE,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,19,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_42,thabisile_patricia_mngoma,THABISILE PATRICIA MNGOMA,THABISILE,PATRICIA,MNGOMA,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,20,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_43,sisanda_nonduduzo_wendy_mbhele,SISANDA NONDUDUZO WENDY MBHELE,SISANDA,NONDUDUZO WENDY,MBHELE,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,21,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_44,tamsanqa_blamneki,TAMSANQA BLAMNEKI,TAMSANQA,,BLAMNEKI,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,22,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_45,hloniphile_philisiwe_msomi,HLONIPHILE PHILISIWE MSOMI,HLONIPHILE,PHILISIWE,MSOMI,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,23,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_46,qiniso_sydney_zulu,QINISO SYDNEY ZULU,QINISO,SYDNEY,ZULU,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,24,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_47,kwanele_ntombenhle_cele,KWANELE NTOMBENHLE CELE,KWANELE,NTOMBENHLE,CELE,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,25,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_48,muzikayifani_harrison_shangase,MUZIKAYIFANI HARRISON SHANGASE,MUZIKAYIFANI,HARRISON,SHANGASE,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,26,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_49,thembuyise_aaron_xaba,THEMBUYISE AARON XABA,THEMBUYISE,AARON,XABA,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,27,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_50,nomalizo_goodness_dlamini,NOMALIZO GOODNESS DLAMINI,NOMALIZO,GOODNESS,DLAMINI,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,28,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_51,alpheos_mazwi_mpofana,ALPHEOS MAZWI MPOFANA,ALPHEOS,MAZWI,MPOFANA,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,29,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_52,beka_aaron_nhlamvo,BEKA AARON NHLAMVO,BEKA,AARON,NHLAMVO,,pty_65,African Transformation Movement,ATM,District PR Candidate,DC21 - Ugu,30,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_53,nonhlanhla_portia_luthuli,NONHLANHLA PORTIA LUTHULI,NONHLANHLA,PORTIA,LUTHULI,,pty_70,Afrika Mayibuye Movement,AMM,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_54,brendicia_ntombi_shangasi,BRENDICIA NTOMBI SHANGASI,BRENDICIA,NTOMBI,SHANGASI,,pty_73,Afro Natives,AN,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_55,faizal_muckdoom_khan,FAIZAL MUCKDOOM KHAN,FAIZAL,MUCKDOOM,KHAN,,pty_77,Al Jama-Ah,ALJAMA,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_56,goodwill_mfanufikile_cele,GOODWILL MFANUFIKILE CELE,GOODWILL,MFANUFIKILE,CELE,,pty_77,Al Jama-Ah,ALJAMA,District PR Candidate,DC21 - Ugu,2,Siphokazi Kumbuza,,,,,,,,,,,Auto_search,https://za.linkedin.com/in/goodwill-mfanufikile-cele-371087155,,,,,,,,,"LI- Potential 65% Full 3-name match, Location match (Port Shepstone), Direct profile"
pers_57,muhammad_asghar_khan,MUHAMMAD ASGHAR KHAN,MUHAMMAD,ASGHAR,KHAN,,pty_77,Al Jama-Ah,ALJAMA,District PR Candidate,DC21 - Ugu,3,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_58,nelisiwe_edith_ngcobo,NELISIWE EDITH NGCOBO,NELISIWE,EDITH,NGCOBO,,pty_82,All Natives Of South Africa,ANSA,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_59,dumisani_alson_shozi,DUMISANI ALSON SHOZI,DUMISANI,ALSON,SHOZI,,pty_82,All Natives Of South Africa,ANSA,District PR Candidate,DC21 - Ugu,2,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_60,hloniphani_samukela_phahla,HLONIPHANI SAMUKELA PHAHLA,HLONIPHANI,SAMUKELA,PHAHLA,,pty_82,All Natives Of South Africa,ANSA,District PR Candidate,DC21 - Ugu,3,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_61,charity_pinky_mkhize,CHARITY PINKY MKHIZE,CHARITY,PINKY,MKHIZE,,pty_82,All Natives Of South Africa,ANSA,District PR Candidate,DC21 - Ugu,4,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_62,vincent_mthabiseni_chiliza,VINCENT MTHABISENI CHILIZA,VINCENT,MTHABISENI,CHILIZA,,pty_82,All Natives Of South Africa,ANSA,District PR Candidate,DC21 - Ugu,5,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_63,zamafuze_carolinefrancis_ngcobo,ZAMAFUZE CAROLINE-FRANCIS NGCOBO,ZAMAFUZE,CAROLINE-FRANCIS,NGCOBO,,pty_82,All Natives Of South Africa,ANSA,District PR Candidate,DC21 - Ugu,6,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_64,nonkululeko_maureen_mkhize,NONKULULEKO MAUREEN MKHIZE,NONKULULEKO,MAUREEN,MKHIZE,,pty_82,All Natives Of South Africa,ANSA,District PR Candidate,DC21 - Ugu,7,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_65,galan_govender,GALAN GOVENDER,GALAN,,GOVENDER,,pty_82,All Natives Of South Africa,ANSA,District PR Candidate,DC21 - Ugu,8,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_66,piet_breedt,PIET BREEDT,PIET,,BREEDT,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_67,lesley_anne_williams,LESLEY ANNE WILLIAMS,LESLEY,ANNE,WILLIAMS,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,2,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_68,nazir_shaikh,NAZIR SHAIKH,NAZIR,,SHAIKH,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,3,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_69,leon_victor_kotze,LEON VICTOR KOTZE,LEON,VICTOR,KOTZE,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,4,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_70,seivapersadh_kalkapersad_kalkapersad,SEIVAPERSADH KALKAPERSAD KALKAPERSAD,SEIVAPERSADH,KALKAPERSAD,KALKAPERSAD,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,5,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_71,pierre_roelof_joubert,PIERRE ROELOF JOUBERT,PIERRE,ROELOF,JOUBERT,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,6,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_72,sizwe_cosmos_mavundla,SIZWE COSMOS MAVUNDLA,SIZWE,COSMOS,MAVUNDLA,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,7,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_73,victor_thabani_mbata,VICTOR THABANI MBATA,VICTOR,THABANI,MBATA,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,8,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_74,nomthetho_mirriam_lunika,NOMTHETHO MIRRIAM LUNIKA,NOMTHETHO,MIRRIAM,LUNIKA,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,9,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_75,portia_tshepiso_nkoko,PORTIA TSHEPISO NKOKO,PORTIA,TSHEPISO,NKOKO,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,10,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_76,ntokozo_joseph_mngoma,NTOKOZO JOSEPH MNGOMA,NTOKOZO,JOSEPH,MNGOMA,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,11,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_77,sandile_jabulani_malloy,SANDILE JABULANI MALLOY,SANDILE,JABULANI,MALLOY,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,12,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_78,nontsikelelo_matandela,NONTSIKELELO MATANDELA,NONTSIKELELO,,MATANDELA,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,13,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_79,zuret_opperman,ZURET OPPERMAN,ZURET,,OPPERMAN,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,14,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_80,mfanafuthi_moran_ncane,MFANAFUTHI MORAN NCANE,MFANAFUTHI,MORAN,NCANE,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,15,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_81,ashley_sookhraj,ASHLEY SOOKHRAJ,ASHLEY,,SOOKHRAJ,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,16,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_82,suraya_mahomed,SURAYA MAHOMED,SURAYA,,MAHOMED,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,17,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_83,king_comfort_mkonde,KING COMFORT MKONDE,KING,COMFORT,MKONDE,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,18,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_84,sicelo_goodpresent_chiliza,SICELO GOODPRESENT CHILIZA,SICELO,GOODPRESENT,CHILIZA,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,19,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_85,thandiwe_happiness_cele,THANDIWE HAPPINESS CELE,THANDIWE,HAPPINESS,CELE,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,20,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_86,zamani_bright_mpisane,ZAMANI BRIGHT MPISANE,ZAMANI,BRIGHT,MPISANE,,pty_189,Democratic Alliance,DA,District PR Candidate,DC21 - Ugu,21,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_87,khethiwe_mildred_muthwa,KHETHIWE MILDRED MUTHWA,KHETHIWE,MILDRED,MUTHWA,,pty_205,Economic Freedom Fighters,EFF,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_88,siyabonga_mlungisi_lawrence_duma,SIYABONGA MLUNGISI LAWRENCE DUMA,SIYABONGA,MLUNGISI LAWRENCE,DUMA,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_89,cecil_siphiwo_cele,CECIL SIPHIWO CELE,CECIL,SIPHIWO,CELE,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,2,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_90,hleziphi_ivy_memela,HLEZIPHI IVY MEMELA,HLEZIPHI,IVY,MEMELA,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,3,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_91,thulisile_hilda_msabala,THULISILE HILDA MSABALA,THULISILE,HILDA,MSABALA,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,4,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_92,mlondi_mlondolozi_mbatha,MLONDI MLONDOLOZI MBATHA,MLONDI,MLONDOLOZI,MBATHA,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,5,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_93,phumelele_zamazulu_londiwe_zulu,PHUMELELE ZAMAZULU LONDIWE ZULU,PHUMELELE,ZAMAZULU LONDIWE,ZULU,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,6,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_94,sandile_mthalani,SANDILE MTHALANI,SANDILE,,MTHALANI,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,7,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_95,sbongiseni_vincent_duma,SBONGISENI VINCENT DUMA,SBONGISENI,VINCENT,DUMA,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,8,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_96,ntuthuko_mseleku,NTUTHUKO MSELEKU,NTUTHUKO,,MSELEKU,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,9,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_97,zibuyile_msizazwe,ZIBUYILE MSIZAZWE,ZIBUYILE,,MSIZAZWE,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,10,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_98,bonginkosi_morris_xolani_mzobe,BONGINKOSI MORRIS XOLANI MZOBE,BONGINKOSI,MORRIS XOLANI,MZOBE,,pty_262,Inkatha Freedom Party,IFP,District PR Candidate,DC21 - Ugu,11,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_99,mthetheleli_michael_mkhize,MTHETHELELI MICHAEL MKHIZE,MTHETHELELI,MICHAEL,MKHIZE,,pty_272,Justice And Employment Party,JEP,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_100,ntombizodwa_elizabeth_ngcamu,NTOMBIZODWA ELIZABETH NGCAMU,NTOMBIZODWA,ELIZABETH,NGCAMU,,pty_376,National Freedom Party,NFP,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_101,thanduxolo_howard_mteshane,THANDUXOLO HOWARD MTESHANE,THANDUXOLO,HOWARD,MTESHANE,,pty_376,National Freedom Party,NFP,District PR Candidate,DC21 - Ugu,2,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_102,goodenough_maphumulo,GOODENOUGH MAPHUMULO,GOODENOUGH,,MAPHUMULO,,pty_376,National Freedom Party,NFP,District PR Candidate,DC21 - Ugu,3,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
pers_103,trevor_thabani_ngubane,TREVOR THABANI NGUBANE,TREVOR,THABANI,NGUBANE,,pty_403,Pan Africanist Congress Of Azania,PAC,District PR Candidate,DC21 - Ugu,1,Siphokazi Kumbuza,,,,,,,,,,,,,,,,,,,,,
